country,crop,year,rainfall,pesticides,temperature,Actual (A),Predicted (P),Absolute Error (AE),Residual (R) (A - P) ,R^2,,,,,,,,
Pakistan,Potatoes,1991,494,5962,26.34,104452,104452,0,0,0,,,,,,,,
Greece,Wheat,2005,652,12083,17.91,24058,23432,626,626,391876,,,,,,,,
Nepal,Soybeans,1995,1500,60.11,15.3,6540,5855,685,685,469225,,,,,,,,
Brazil,Maize,2000,1761,140423,25.71,27182,27182,0,0,0,,,,,,,,
Sri Lanka,Sorghum,2000,1712,1695.71,26.43,7500,7143,357,357,127449,,,,,,,,
South Africa,Potatoes,2007,495,26857,15.9,330590,330590,0,0,0,,,,,,,,
Brazil,Cassava,1991,1761,58349.44,20.13,126164,126164,0,0,0,,,,,,,,
Brazil,Sweet potatoes,1993,1761,75658.33,20.49,107920,107920,0,0,0,,,,,,,,
Ecuador,Cassava,2006,2274,7953.42,22.31,34279,31191,3088,3088,9535744,,,,,,,,
Morocco,"Rice, paddy",2001,346,13842.57,18.73,52773,41453,11320,11320,128142400,,,,,,,,
El Salvador,Maize,2011,1784,3231.13,25.95,28181,30253,2072,-2072,4293184,,,,,,,,
India,Sorghum,2001,1083,43720.04,26.02,7715,7715,0,0,0,,,,,,,,
India,Cassava,2004,1083,35113,25.95,270436,270436,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1992,1761,67003.89,25.61,21349,21349,0,0,0,,,,,,,,
India,Maize,2010,1083,40093.69,27.69,25401,25401,0,0,0,,,,,,,,
India,Sweet potatoes,1990,1083,75000,25.79,79663,79663,0,0,0,,,,,,,,
Brazil,Sorghum,2012,1761,346583,18.8,29317,29317,0,0,0,,,,,,,,
Brazil,Potatoes,1999,1761,127585,20.04,164604,164604,0,0,0,,,,,,,,
Ecuador,Wheat,1992,2274,2012,22.19,5911,5911,0,0,0,,,,,,,,
Pakistan,Sweet potatoes,2002,494,10881.83,23.83,100385,100385,0,0,0,,,,,,,,
Argentina,Potatoes,2006,591,65872.12,18.1,285828,285828,0,0,0,,,,,,,,
Kazakhstan,Soybeans,1993,250,17182,5.51,11269,11919,650,-650,422500,,,,,,,,
Brazil,Sorghum,2000,1761,140423,25.71,15013,15013,0,0,0,,,,,,,,
India,Maize,1994,1083,61357,24.29,14480,14480,0,0,0,,,,,,,,
Bangladesh,Maize,1997,2666,2035,25.55,10914,9042,1872,1872,3504384,,,,,,,,
Slovenia,Maize,2005,1162,1383.88,9.62,82883,69182,13701,13701,187717401,,,,,,,,
Ecuador,Plantains and others,2002,2274,1302.49,17.78,59057,59057,0,0,0,,,,,,,,
Pakistan,Wheat,1998,494,18406,24.91,22376,22376,0,0,0,,,,,,,,
Lebanon,Potatoes,1992,661,1221,18.18,210345,201527,8818,8818,77757124,,,,,,,,
India,Sorghum,1997,1083,52279,24.71,6920,6920,0,0,0,,,,,,,,
India,Sorghum,2007,1083,27422.77,26.58,8443,8443,0,0,0,,,,,,,,
Pakistan,Wheat,1997,494,16936,23.76,20533,20533,0,0,0,,,,,,,,
India,Maize,2008,1083,14485.33,26.83,24140,24140,0,0,0,,,,,,,,
Mozambique,"Rice, paddy",2009,1032,914.92,21.7,9835,2729,7106,7106,50495236,,,,,,,,
Mexico,Soybeans,2001,758,31373.3,21.23,16503,16503,0,0,0,,,,,,,,
India,Soybeans,1999,1083,46195,26.4,11380,11380,0,0,0,,,,,,,,
Brazil,Maize,2004,1761,214725,27.72,33671,33671,0,0,0,,,,,,,,
Saudi Arabia,Potatoes,2001,59,3194.48,26.67,240917,228648,12269,12269,150528361,,,,,,,,
Dominican Republic,Maize,1990,1410,4971,26.61,16479,16223,256,256,65536,,,,,,,,
India,Sweet potatoes,2006,1083,37423,25.31,86849,86849,0,0,0,,,,,,,,
Senegal,"Rice, paddy",1997,686,437.23,25.87,23254,22497,757,757,573049,,,,,,,,
Ecuador,Sweet potatoes,2008,2274,15396.14,17.16,21244,19113,2131,2131,4541161,,,,,,,,
Mexico,Sweet potatoes,2000,758,34468.93,21.12,188160,188160,0,0,0,,,,,,,,
Australia,Wheat,2009,534,38065.68,14.65,15831,19153,3322,-3322,11035684,,,,,,,,
Morocco,Soybeans,1997,346,12214,18.65,10000,10000,0,0,0,,,,,,,,
Thailand,Maize,1991,1622,18849,27.85,27117,24090,3027,3027,9162729,,,,,,,,
Niger,Sweet potatoes,1994,151,62,29.05,109463,102158,7305,7305,53363025,,,,,,,,
Mozambique,Potatoes,2008,1032,890.47,21.76,140000,132353,7647,7647,58476609,,,,,,,,
Australia,Potatoes,2010,534,42169.39,16.72,351334,351334,0,0,0,,,,,,,,
Croatia,Potatoes,1997,1113,3026.25,10.18,98123,102378,4255,-4255,18105025,,,,,,,,
Nepal,Maize,2012,1500,410.32,15.2,25011,22814,2197,2197,4826809,,,,,,,,
Mexico,Sorghum,2006,758,50891.95,25.35,34481,34544,63,-63,3969,,,,,,,,
Brazil,Soybeans,2001,1761,151523,20.96,27105,27105,0,0,0,,,,,,,,
Bahrain,Potatoes,1992,83,14.05,25.09,188000,206667,18667,-18667,348456889,,,,,,,,
Pakistan,Maize,1996,494,11955,24.43,15884,15884,0,0,0,,,,,,,,
India,Cassava,2010,1083,40093.69,27.16,347555,347555,0,0,0,,,,,,,,
Ecuador,Wheat,2004,2274,29799.84,22.33,8053,8053,0,0,0,,,,,,,,
Canada,Maize,1992,537,29387,3.69,56927,56927,0,0,0,,,,,,,,
Mexico,Maize,1995,758,34468.93,16.68,22883,22255,628,628,394384,,,,,,,,
Honduras,Cassava,1994,1976,3160.91,24.87,67304,47145,20159,20159,406385281,,,,,,,,
Brazil,Maize,2012,1761,346583,19.72,50057,50057,0,0,0,,,,,,,,
Brazil,Yams,1996,1761,101621.67,27.6,91837,91837,0,0,0,,,,,,,,
India,Maize,1992,1083,70791,26.78,16758,16758,0,0,0,,,,,,,,
Ecuador,Cassava,1998,2274,21500,22.59,49242,49242,0,0,0,,,,,,,,
Australia,Sweet potatoes,2005,534,34310,18.03,336000,336000,0,0,0,,,,,,,,
South Africa,"Rice, paddy",1993,495,16582,19.32,21710,21297,413,413,170569,,,,,,,,
India,Wheat,1999,1083,46195,26.06,25901,25901,0,0,0,,,,,,,,
India,Sweet potatoes,1995,1083,61257,26.72,80643,80643,0,0,0,,,,,,,,
Indonesia,"Rice, paddy",1996,2702,1597,26.83,44168,44168,0,0,0,,,,,,,,
Nepal,Soybeans,1996,1500,70.43,15.37,6601,6873,272,-272,73984,,,,,,,,
Romania,Soybeans,1997,637,15349,10.46,20032,13913,6119,6119,37442161,,,,,,,,
Peru,Maize,2005,1738,10227.74,17.02,26289,29276,2987,-2987,8922169,,,,,,,,
Lesotho,Wheat,1996,788,0.3,13.93,14108,2685,11423,11423,130484929,,,,,,,,
Indonesia,Potatoes,1993,2702,1597,26.9,158338,158338,0,0,0,,,,,,,,
Mexico,Cassava,2012,758,64512.22,17.2,122330,122330,0,0,0,,,,,,,,
Bangladesh,Soybeans,2009,2666,13790.09,26.54,14660,17090,2430,-2430,5904900,,,,,,,,
India,Sweet potatoes,2002,1083,42482.56,26.79,85694,85694,0,0,0,,,,,,,,
Mexico,Maize,2010,758,63402.29,15.87,32599,32599,0,0,0,,,,,,,,
India,Sorghum,1997,1083,52279,25.46,6920,6920,0,0,0,,,,,,,,
Rwanda,Yams,2009,1212,1187.6,19.84,52001,71523,19522,-19522,381108484,,,,,,,,
Turkey,Wheat,2001,593,25539,13.16,20765,20765,0,0,0,,,,,,,,
Germany,Maize,2000,700,35273.17,10.96,92119,92119,0,0,0,,,,,,,,
Japan,Yams,2010,1668,55576,16.12,226963,226963,0,0,0,,,,,,,,
Bangladesh,Maize,2008,2666,12936.5,26,60172,56831,3341,3341,11162281,,,,,,,,
Japan,Sweet potatoes,2004,1668,64688.88,16.54,250372,250372,0,0,0,,,,,,,,
Japan,Yams,2000,1668,79821.18,15.58,226577,226577,0,0,0,,,,,,,,
Algeria,Wheat,2011,89,13861.76,17.79,17405,11038,6367,6367,40538689,,,,,,,,
Mexico,Sweet potatoes,1999,758,34468.93,16.18,193104,187500,5604,5604,31404816,,,,,,,,
Burkina Faso,Soybeans,2011,748,843,29.03,8873,10949,2076,-2076,4309776,,,,,,,,
Germany,Wheat,1994,700,26330,6.64,67684,59811,7873,7873,61984129,,,,,,,,
Turkey,Potatoes,1997,593,34431,17.2,241821,241821,0,0,0,,,,,,,,
Papua New Guinea,Potatoes,2007,3142,105,25.2,45000,44545,455,455,207025,,,,,,,,
El Salvador,Plantains and others,1995,1784,3475.08,26.05,119791,106557,13234,13234,175138756,,,,,,,,
Italy,Wheat,2007,832,80454,8.4,34137,38335,4198,-4198,17623204,,,,,,,,
Zambia,Cassava,1997,1020,1670,20.9,61978,62000,22,-22,484,,,,,,,,
Bangladesh,Potatoes,1995,2666,1702,26.09,111665,111665,0,0,0,,,,,,,,
Australia,Maize,2012,534,48687.88,17.47,64654,64654,0,0,0,,,,,,,,
India,Soybeans,2006,1083,37423,26.34,10628,10628,0,0,0,,,,,,,,
Japan,Sweet potatoes,2012,1668,54716.4,13.11,225747,225747,0,0,0,,,,,,,,
Mauritius,Potatoes,2005,2041,698.23,24.16,213306,213264,42,42,1764,,,,,,,,
Indonesia,Potatoes,1999,2702,1597,25.26,147199,147199,0,0,0,,,,,,,,
India,Sorghum,1999,1083,46195,24.9,8472,8472,0,0,0,,,,,,,,
Australia,Potatoes,2009,534,38065.68,20.65,361747,362787,1040,-1040,1081600,,,,,,,,
Greece,"Rice, paddy",2004,652,11594,18.07,71038,74059,3021,-3021,9126441,,,,,,,,
Colombia,Cassava,1990,3240,18058.29,27.22,93532,101765,8233,-8233,67782289,,,,,,,,
Brazil,Soybeans,1998,1761,118930.56,26.63,23533,23533,0,0,0,,,,,,,,
Pakistan,Wheat,2011,494,1979.27,23.36,28328,28328,0,0,0,,,,,,,,
Hungary,"Rice, paddy",1991,589,8069,9.66,23696,22508,1188,1188,1411344,,,,,,,,
Tajikistan,Soybeans,1997,691,751.31,8.69,200,260,60,-60,3600,,,,,,,,
Denmark,Wheat,1995,703,5043,8.75,75633,70749,4884,4884,23853456,,,,,,,,
Guinea,"Rice, paddy",1998,1651,181.35,27.63,17132,17194,62,-62,3844,,,,,,,,
India,Wheat,2008,1083,14485.33,27.45,28022,28022,0,0,0,,,,,,,,
Guyana,"Rice, paddy",2008,2387,234.27,27.31,42324,43622,1298,-1298,1684804,,,,,,,,
Pakistan,Sweet potatoes,2011,494,1979.27,27.02,99623,99623,0,0,0,,,,,,,,
Dominican Republic,Sorghum,1997,1410,3846,27.18,25468,24125,1343,1343,1803649,,,,,,,,
Nicaragua,Maize,2007,2280,9850.26,27.23,13776,15605,1829,-1829,3345241,,,,,,,,
New Zealand,Sweet potatoes,1994,1732,3515,12.89,247137,252381,5244,-5244,27499536,,,,,,,,
Rwanda,"Rice, paddy",1998,1212,157,19.79,19148,27318,8170,-8170,66748900,,,,,,,,
Japan,Wheat,2001,1668,78735.45,13.13,35546,35546,0,0,0,,,,,,,,
Madagascar,Maize,1996,1513,152.01,19.71,9299,15327,6028,-6028,36336784,,,,,,,,
Pakistan,Sorghum,2010,494,2968.44,28,6171,6171,0,0,0,,,,,,,,
Brazil,Sweet potatoes,2011,1761,345026,21.74,124266,124266,0,0,0,,,,,,,,
Jamaica,Maize,2012,2051,909.71,27.51,11891,11883,8,8,64,,,,,,,,
India,Soybeans,1998,1083,49157,25.77,11001,11001,0,0,0,,,,,,,,
United Kingdom,Wheat,2004,1220,31223.91,8.92,77754,77754,0,0,0,,,,,,,,
Portugal,Wheat,1994,854,9580,16.12,19667,17139,2528,2528,6390784,,,,,,,,
Senegal,Sweet potatoes,2001,686,282.02,25.79,107470,107470,0,0,0,,,,,,,,
Azerbaijan,Soybeans,2001,447,148.68,12.97,12222,4000,8222,8222,67601284,,,,,,,,
Canada,Maize,2005,537,36363,5.95,86035,86035,0,0,0,,,,,,,,
Uganda,Sweet potatoes,1992,1180,72,23.46,43100,41978,1122,1122,1258884,,,,,,,,
Italy,Potatoes,2002,832,94211,8.15,240997,250819,9822,-9822,96471684,,,,,,,,
Libya,Wheat,1993,56,87,20.12,8400,8400,0,0,0,,,,,,,,
Portugal,Potatoes,2010,854,13774.18,16.5,150341,164431,14090,-14090,198528100,,,,,,,,
India,Sweet potatoes,1990,1083,75000,25.25,79663,79663,0,0,0,,,,,,,,
India,Sweet potatoes,1992,1083,70791,24.62,82835,82835,0,0,0,,,,,,,,
Pakistan,Sweet potatoes,1991,494,5962,18.48,101190,104368,3178,-3178,10099684,,,,,,,,
Namibia,Sorghum,1992,285,48,20.36,973,2052,1079,-1079,1164241,,,,,,,,
Brazil,Soybeans,1994,1761,84312.78,19.15,21632,21632,0,0,0,,,,,,,,
Canada,Potatoes,2000,537,39667,7.63,116314,116314,0,0,0,,,,,,,,
Brazil,Sorghum,1994,1761,84312.78,26.9,19056,19056,0,0,0,,,,,,,,
Mexico,Sorghum,2007,758,64501.28,19.7,34947,34947,0,0,0,,,,,,,,
Japan,Sweet potatoes,2008,1668,58750,15.57,248403,248403,0,0,0,,,,,,,,
Guyana,"Rice, paddy",1992,2387,289.9,27.13,35106,37329,2223,-2223,4941729,,,,,,,,
Haiti,Maize,2007,1440,27.85,27.47,7803,7802,1,1,1,,,,,,,,
Mexico,Cassava,1996,758,34468.93,21.08,77192,77192,0,0,0,,,,,,,,
India,Soybeans,1994,1083,61357,26.55,9106,9106,0,0,0,,,,,,,,
Australia,Wheat,1995,534,25598,20.12,17899,17899,0,0,0,,,,,,,,
Croatia,Sorghum,2005,1113,2053,9.62,30000,24835,5165,5165,26677225,,,,,,,,
Australia,Sorghum,1994,534,21057,11.6,21697,17974,3723,3723,13860729,,,,,,,,
Peru,Soybeans,2006,1738,12074.5,17.61,15705,15354,351,351,123201,,,,,,,,
Guatemala,Cassava,1991,1996,12004.33,19.91,29167,31400,2233,-2233,4986289,,,,,,,,
Brazil,Sorghum,2002,1761,145552,27.27,18573,18573,0,0,0,,,,,,,,
Japan,Wheat,2007,1668,61164.07,16.53,43400,43400,0,0,0,,,,,,,,
Canada,Potatoes,1999,537,44293,8.29,110517,110517,0,0,0,,,,,,,,
Indonesia,Maize,2000,2702,1597,27.1,27649,27649,0,0,0,,,,,,,,
Mexico,Sweet potatoes,2010,758,63402.29,19.38,206653,206653,0,0,0,,,,,,,,
Latvia,Wheat,2011,641,1070.5,7.25,30613,38857,8244,-8244,67963536,,,,,,,,
Australia,Sorghum,1993,534,23899,16.71,12834,12834,0,0,0,,,,,,,,
Niger,Wheat,2010,151,11.49,30.32,19868,20820,952,-952,906304,,,,,,,,
Mexico,Soybeans,2013,758,59920.18,21.86,15198,15198,0,0,0,,,,,,,,
Senegal,Sweet potatoes,2000,686,491.03,25.26,100092,107470,7378,-7378,54434884,,,,,,,,
India,Wheat,1990,1083,75000,25.68,21211,21211,0,0,0,,,,,,,,
Tajikistan,Potatoes,1999,691,601.94,8.74,117128,119046,1918,-1918,3678724,,,,,,,,
Japan,Yams,1992,1668,79821.18,12.94,188269,188269,0,0,0,,,,,,,,
Brazil,Cassava,1990,1761,49695,20.29,125529,125529,0,0,0,,,,,,,,
Peru,Sweet potatoes,2006,1738,12074.5,17.61,176596,161331,15265,15265,233020225,,,,,,,,
Australia,Sorghum,1998,534,37215,13.61,21321,21321,0,0,0,,,,,,,,
Guatemala,Soybeans,2009,1996,13276.7,19.99,25714,31313,5599,-5599,31348801,,,,,,,,
Egypt,Soybeans,2008,51,9527,21.74,33601,30817,2784,2784,7750656,,,,,,,,
India,Wheat,1999,1083,46195,24.93,25901,25901,0,0,0,,,,,,,,
Pakistan,Sorghum,2007,494,5935.96,23.33,6045,6045,0,0,0,,,,,,,,
Zimbabwe,Wheat,2009,657,3269.99,20.52,30000,30097,97,-97,9409,,,,,,,,
New Zealand,Maize,2000,1732,3634.3,13.4,102260,112996,10736,-10736,115261696,,,,,,,,
Australia,Sweet potatoes,1999,534,34200,12.1,275000,275000,0,0,0,,,,,,,,
Brazil,Cassava,2009,1761,335742,18.84,138613,138613,0,0,0,,,,,,,,
Mexico,Wheat,1997,758,34468.93,20.99,47347,47347,0,0,0,,,,,,,,
Mexico,Potatoes,2013,758,59920.18,17.34,267752,268098,346,-346,119716,,,,,,,,
Cameroon,Maize,2000,1604,545,24.88,24615,24762,147,-147,21609,,,,,,,,
India,Potatoes,2001,1083,43720.04,25.95,183627,183627,0,0,0,,,,,,,,
India,Maize,2004,1083,35113,26.25,19073,19073,0,0,0,,,,,,,,
Bahamas,Maize,1996,1292,484.59,25.06,17931,20267,2336,-2336,5456896,,,,,,,,
India,Wheat,2007,1083,27422.77,25.95,27079,27079,0,0,0,,,,,,,,
Indonesia,Cassava,1991,2702,3259,27.05,120946,120946,0,0,0,,,,,,,,
Nicaragua,Sorghum,2007,2280,9850.26,27.23,20477,18606,1871,1871,3500641,,,,,,,,
Pakistan,Maize,2009,494,3957.61,27.88,34879,34879,0,0,0,,,,,,,,
Brazil,Yams,2012,1761,346583,21.02,97619,97619,0,0,0,,,,,,,,
Canada,Soybeans,1993,537,29296.5,8.11,26005,26005,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1998,1761,118930.56,20.71,25198,25198,0,0,0,,,,,,,,
Iraq,Maize,1998,216,755,20.65,21803,21803,0,0,0,,,,,,,,
Brazil,Sweet potatoes,2006,1761,238716,18.47,116902,116902,0,0,0,,,,,,,,
Iraq,Soybeans,1995,216,816,23.32,14000,13846,154,154,23716,,,,,,,,
Pakistan,"Rice, paddy",2005,494,7914.31,22.8,31742,31742,0,0,0,,,,,,,,
Albania,Wheat,2002,1485,691.75,16.47,31617,28220,3397,3397,11539609,,,,,,,,
India,"Rice, paddy",1993,1083,66388,25.92,28303,28303,0,0,0,,,,,,,,
Kenya,Wheat,2002,630,1578,16.61,21217,19890,1327,1327,1760929,,,,,,,,
Bangladesh,Sorghum,1991,2666,1287,25.85,8376,8376,0,0,0,,,,,,,,
India,Maize,1993,1083,66388,25.27,16015,16015,0,0,0,,,,,,,,
Canada,Soybeans,2008,537,53707.3,5.01,27906,27906,0,0,0,,,,,,,,
India,Sorghum,2012,1083,52980,25.39,9568,9568,0,0,0,,,,,,,,
Mexico,"Rice, paddy",1992,758,34468.93,21,43577,43577,0,0,0,,,,,,,,
Japan,Sweet potatoes,1990,1668,79821.18,14.14,231353,231353,0,0,0,,,,,,,,
South Africa,Potatoes,2006,495,26857,15.26,331650,331650,0,0,0,,,,,,,,
India,Soybeans,1996,1083,56114,25.34,10319,10319,0,0,0,,,,,,,,
Brazil,Wheat,1999,1761,127585,17.66,19699,19699,0,0,0,,,,,,,,
Argentina,Cassava,1997,591,77691,18.54,100000,100000,0,0,0,,,,,,,,
Japan,Wheat,1996,1668,79821.18,12.61,30164,30164,0,0,0,,,,,,,,
Mexico,Cassava,2004,758,26433.14,16.2,141677,141677,0,0,0,,,,,,,,
Azerbaijan,Wheat,2007,447,148.68,12.75,26722,25748,974,974,948676,,,,,,,,
India,Potatoes,2000,1083,44957.52,26.05,186443,186443,0,0,0,,,,,,,,
Brazil,Wheat,2009,1761,335742,24.98,20802,20802,0,0,0,,,,,,,,
Thailand,Cassava,2010,1622,68986,28.54,185730,226781,41051,-41051,1685184601,,,,,,,,
Brazil,Sorghum,1995,1761,92967.22,27.34,17981,17981,0,0,0,,,,,,,,
India,"Rice, paddy",2013,1083,45620,26.61,36070,36070,0,0,0,,,,,,,,
Japan,Maize,1991,1668,79821.18,13.32,24896,24896,0,0,0,,,,,,,,
Japan,Wheat,1993,1668,79821.18,14.99,34739,34739,0,0,0,,,,,,,,
Canada,Soybeans,1998,537,41275.6,10.6,27922,27698,224,224,50176,,,,,,,,
Dominican Republic,Plantains and others,1996,1410,3493,26.31,81850,81850,0,0,0,,,,,,,,
Brazil,Cassava,2007,1761,304031,18.66,140099,140099,0,0,0,,,,,,,,
Lesotho,Sorghum,2002,788,0.3,14.69,4225,8640,4415,-4415,19492225,,,,,,,,
Norway,Potatoes,2000,1414,348.24,4.52,235890,269329,33439,-33439,1118166721,,,,,,,,
Italy,Potatoes,1990,832,100596.4,12.83,191624,200113,8489,-8489,72063121,,,,,,,,
Japan,Maize,2002,1668,70262.54,13.42,24615,25000,385,-385,148225,,,,,,,,
Indonesia,Soybeans,1998,2702,1597,27.9,11923,11923,0,0,0,,,,,,,,
Indonesia,Potatoes,1997,2702,1597,25.52,162061,162061,0,0,0,,,,,,,,
Pakistan,"Rice, paddy",1990,494,5299,27,23151,23151,0,0,0,,,,,,,,
Bulgaria,Wheat,2000,608,2876,9.9,28421,27352,1069,1069,1142761,,,,,,,,
Japan,Yams,2008,1668,58750,15.98,225093,225093,0,0,0,,,,,,,,
Canada,Potatoes,2010,537,61050,9.47,128373,128373,0,0,0,,,,,,,,
Zimbabwe,Cassava,2002,657,3023.72,21.08,42679,42650,29,29,841,,,,,,,,
Pakistan,Wheat,2011,494,1979.27,23.36,28328,28328,0,0,0,,,,,,,,
Mauritania,Potatoes,2011,92,13.35,27.87,55446,57143,1697,-1697,2879809,,,,,,,,
Japan,Maize,1992,1668,79821.18,12.94,25180,24896,284,284,80656,,,,,,,,
India,Maize,1993,1083,66388,25.06,16015,16015,0,0,0,,,,,,,,
Japan,Wheat,2004,1668,64688.88,16.19,40466,40466,0,0,0,,,,,,,,
Mexico,Soybeans,1993,758,34468.93,16.23,20927,20927,0,0,0,,,,,,,,
South Africa,Potatoes,2006,495,26857,20.86,331650,333534,1884,-1884,3549456,,,,,,,,
El Salvador,Sweet potatoes,2010,1784,3598.59,25.96,60767,60343,424,424,179776,,,,,,,,
Malaysia,Sweet potatoes,2002,2875,39406.48,27.57,108800,126406,17606,-17606,309971236,,,,,,,,
Pakistan,Soybeans,2008,494,4946.79,24.89,5918,5918,0,0,0,,,,,,,,
India,Sweet potatoes,2013,1083,45620,26.69,101288,101288,0,0,0,,,,,,,,
Canada,Wheat,2012,537,73508.9,8.66,28645,28645,0,0,0,,,,,,,,
Brazil,Maize,2004,1761,214725,20.05,33671,33671,0,0,0,,,,,,,,
Nepal,Potatoes,1997,1500,80.75,14.5,89820,85926,3894,3894,15163236,,,,,,,,
Brazil,Wheat,2005,1761,232232,20.78,19735,19735,0,0,0,,,,,,,,
Mozambique,Cassava,1991,1032,102.26,21.77,37965,42395,4430,-4430,19624900,,,,,,,,
Cameroon,Cassava,1999,1604,653,24.97,136594,81918,54676,54676,2989464976,,,,,,,,
Nicaragua,Sorghum,1993,2280,977,27.05,18926,16210,2716,2716,7376656,,,,,,,,
Brazil,Yams,1992,1761,67003.89,25.61,91413,91413,0,0,0,,,,,,,,
El Salvador,"Rice, paddy",2013,1784,6005.08,26.36,61615,63968,2353,-2353,5536609,,,,,,,,
Ecuador,Plantains and others,2011,2274,17529.44,22.11,51321,51321,0,0,0,,,,,,,,
Peru,Soybeans,1997,1738,4307,18.62,14479,6078,8401,8401,70576801,,,,,,,,
India,Maize,1996,1083,56114,25.55,17094,17094,0,0,0,,,,,,,,
Bulgaria,Maize,2008,608,1846,9.9,41548,61244,19696,-19696,387932416,,,,,,,,
India,Wheat,2006,1083,37423,26.37,26188,26188,0,0,0,,,,,,,,
Japan,Yams,2013,1668,52794.3,16.3,217415,217415,0,0,0,,,,,,,,
Norway,Wheat,2008,1414,800.9,4.16,48653,38517,10136,10136,102738496,,,,,,,,
Mexico,"Rice, paddy",1998,758,34468.93,25.14,45108,45108,0,0,0,,,,,,,,
Indonesia,Potatoes,1993,2702,1597,27.21,158338,158338,0,0,0,,,,,,,,
Mexico,Wheat,2002,758,16189.88,19.62,50999,50999,0,0,0,,,,,,,,
India,Sorghum,2007,1083,27422.77,25.58,8443,8443,0,0,0,,,,,,,,
Qatar,Maize,1994,74,3,27.59,124074,126667,2593,-2593,6723649,,,,,,,,
Poland,Potatoes,2004,600,8726,8.33,196266,162092,34174,34174,1167862276,,,,,,,,
Burkina Faso,"Rice, paddy",2012,748,843,28.67,23336,25724,2388,-2388,5702544,,,,,,,,
Mexico,Maize,1996,758,34468.93,19.27,22387,22387,0,0,0,,,,,,,,
Ghana,Plantains and others,2012,1187,378.97,26.86,105443,107574,2131,-2131,4541161,,,,,,,,
Japan,Sweet potatoes,2009,1668,60970.8,15.61,253333,253333,0,0,0,,,,,,,,
India,Wheat,1991,1083,72133,25.85,22814,22814,0,0,0,,,,,,,,
Indonesia,Potatoes,1990,2702,2432,25.37,141637,140000,1637,1637,2679769,,,,,,,,
Canada,Wheat,2001,537,38456,8.47,19452,19452,0,0,0,,,,,,,,
Argentina,Sweet potatoes,1994,591,30195,18.17,176667,176667,0,0,0,,,,,,,,
Libya,Potatoes,1996,56,87,19.24,187273,174212,13061,13061,170589721,,,,,,,,
Libya,Potatoes,1998,56,1262.38,20.24,180000,105689,74311,74311,5522124721,,,,,,,,
Australia,Soybeans,1991,534,17866,13.77,15551,15551,0,0,0,,,,,,,,
Qatar,Potatoes,1998,74,37,28.48,103333,101429,1904,1904,3625216,,,,,,,,
Lithuania,Maize,1992,656,1380,7.04,13710,13833,123,-123,15129,,,,,,,,
Australia,Sweet potatoes,2006,534,35900,16.75,278748,278748,0,0,0,,,,,,,,
Lebanon,Maize,1999,661,1816,20.25,57143,38889,18254,18254,333208516,,,,,,,,
Canada,Wheat,1998,537,41275.6,7,22550,22550,0,0,0,,,,,,,,
India,Soybeans,1990,1083,75000,25.64,10145,10145,0,0,0,,,,,,,,
South Africa,Sorghum,2007,495,26857,15.9,25507,25507,0,0,0,,,,,,,,
India,"Rice, paddy",1996,1083,56114,25.55,28226,28226,0,0,0,,,,,,,,
Burundi,Maize,1992,1274,92.08,21.31,14218,12040,2178,2178,4743684,,,,,,,,
Mexico,Sorghum,2000,758,34468.93,19.29,30762,30762,0,0,0,,,,,,,,
India,Wheat,2001,1083,43720.04,25.33,27081,27081,0,0,0,,,,,,,,
Turkey,Maize,2001,593,25539,15.11,40063,40063,0,0,0,,,,,,,,
Indonesia,Soybeans,2005,2702,1597,27.11,13006,13006,0,0,0,,,,,,,,
El Salvador,Sweet potatoes,1999,1784,2854.16,25.67,63112,63105,7,7,49,,,,,,,,
Ecuador,Soybeans,2010,2274,31637.12,21.98,16279,16279,0,0,0,,,,,,,,
Sri Lanka,Cassava,1990,1712,1571.33,26.53,87717,85535,2182,2182,4761124,,,,,,,,
Colombia,"Rice, paddy",2000,3240,75843,26.98,47324,48009,685,-685,469225,,,,,,,,
Nicaragua,Soybeans,1992,2280,575,27.16,16476,14915,1561,1561,2436721,,,,,,,,
Brazil,Sorghum,2000,1761,140423,18.65,15013,15013,0,0,0,,,,,,,,
Japan,Potatoes,2011,1668,51796.3,13.32,294691,277576,17115,17115,292923225,,,,,,,,
India,Potatoes,2013,1083,45620,28.85,227606,227606,0,0,0,,,,,,,,
Angola,Sorghum,2004,1010,40,24.22,3333,4031,698,-698,487204,,,,,,,,
Senegal,Maize,2000,686,491.03,25.26,11114,8255,2859,2859,8173881,,,,,,,,
Argentina,Soybeans,2000,591,63265.78,17.66,23312,24450,1138,-1138,1295044,,,,,,,,
Guatemala,Wheat,2012,1996,19726.3,19.88,21677,20509,1168,1168,1364224,,,,,,,,
Colombia,Plantains and others,1990,3240,18058.29,27.22,71514,72329,815,-815,664225,,,,,,,,
India,Soybeans,1995,1083,61257,25.73,10121,10121,0,0,0,,,,,,,,
Ecuador,Maize,2000,2274,17948,21.46,14614,14614,0,0,0,,,,,,,,
Indonesia,Soybeans,2007,2702,1597,27.49,12908,12908,0,0,0,,,,,,,,
Mexico,Maize,2005,758,51741.99,16.93,29276,29276,0,0,0,,,,,,,,
Chile,Sweet potatoes,2013,1522,9830.72,5.94,107692,107692,0,0,0,,,,,,,,
